Project_name,Bee Unique ID,Date_comb,Date_reformat,Locality_reformat,Latitude ,Longitude,Site_Grouping,Ecoregion,Elevation_ft,County,Collector,Time_Collected,Floral association (field ID),Verified Bee species ID,sex/caste,Final Species ID determiner,Specimen pinned?
calibombus,Cali00078,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00079,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00080,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00081,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00082,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,male,B Lewis-Smith,Y
calibombus,Cali00083,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00084,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00085,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00086,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00087,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00088,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00089,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00090,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00091,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00092,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00093,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00094,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00095,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00096,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00097,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00098,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00099,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00100,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00101,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00102,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00103,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00104,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00105,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00106,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vandykei,queen,KWatrous,Y
calibombus,Cali00107,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vandykei,queen,KWatrous,Y
calibombus,Cali00108,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vandykei,queen,KWatrous,Y
calibombus,Cali00109,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vandykei,queen,KWatrous,Y
calibombus,Cali00110,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vandykei,queen,KWatrous,Y
calibombus,Cali00111,7-May-19,7-May-19,Spanish Oak Rd,37.049144,-119.4664,misc,SN,1811,Fresno Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00112,7-May-19,7-May-19,Spanish Oak Rd,37.049144,-119.4664,misc,SN,1811,Fresno Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00113,7-May-19,7-May-19,Spanish Oak Rd,37.049144,-119.4664,misc,SN,1811,Fresno Co.,SH Woodard,800-1600,lupine,vandykei,female,B Lewis-Smith,Y
calibombus,Cali00114,7-May-19,7-May-19,Spanish Oak Rd,37.049144,-119.4664,misc,SN,1811,Fresno Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00115,7-May-19,7-May-19,Auberry Rd,37.078925,-119.48542,misc,SN,1995,Fresno Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00116,7-May-19,7-May-19,Auberry Rd,37.078925,-119.48542,misc,SN,1995,Fresno Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00117,7-May-19,7-May-19,Auberry Rd,37.078925,-119.48542,misc,SN,1995,Fresno Co.,SH Woodard,800-1600,vetch,melanopygus,male,B Lewis-Smith,Y
calibombus,Cali00118,7-May-19,7-May-19,Auberry Rd,37.078925,-119.48542,misc,SN,1995,Fresno Co.,SH Woodard,800-1600,vetch,melanopygus,male,B Lewis-Smith,Y
calibombus,Cali00119,7-May-19,7-May-19,Auberry Rd,37.078925,-119.48542,misc,SN,1995,Fresno Co.,SH Woodard,800-1600,vetch,melanopygus,male,B Lewis-Smith,Y
calibombus,Cali00120,7-May-19,7-May-19,Auberry Rd,37.078925,-119.48542,misc,SN,1995,Fresno Co.,SH Woodard,800-1600,vetch,NA - Anthophorid,female,,Y
calibombus,Cali00121,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00122,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,male,KWatrous,Y
calibombus,Cali00123,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,male,KWatrous,Y
calibombus,Cali00124,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,male,KWatrous,Y
calibombus,Cali00125,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00126,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00127,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00128,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00129,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00130,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00131,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00132,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00133,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00134,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00135,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,male,KWatrous,Y
calibombus,Cali00136,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,male,KWatrous,Y
calibombus,Cali00137,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,male,KWatrous,Y
calibombus,Cali00138,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00139,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00140,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00141,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00142,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00143,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00144,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00145,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00146,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00147,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00148,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
calibombus,Cali00149,7-May-19,7-May-19,N Fork Transfer Stn,37.236105,-119.504167,NF,SN,2805,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,KWatrous,Y
